playerID,yearID,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,HBP,SF,OBP,SLG,OPS,OPS+,Result
dewitbl01,2010,256,29,69,15,4,1,30,30,49,4,3,1,0.352,0.371,0.723,100,0.305
dewitbl01,2011,230,21,61,11,4,5,26,12,31,1,1,0,0.305,0.413,0.718,99,0.369
diazal02,2016,404,71,121,28,3,17,65,41,60,6,7,6,0.369,0.51,0.879,137,0.29
diazal02,2017,286,31,74,17,0,7,20,13,42,1,0,1,0.29,0.392,0.682,82,0.303
diazal02,2018,422,55,111,26,0,18,55,23,62,2,3,4,0.303,0.453,0.756,106,0.296
diazei01,1999,392,43,110,21,1,3,32,23,41,0,5,1,0.328,0.362,0.69,78,0.323
diazei01,2000,250,29,68,14,2,4,25,11,29,0,8,0,0.323,0.392,0.715,83,0.328
diazei01,2001,437,54,121,34,1,4,56,17,44,0,16,0,0.328,0.387,0.714,89,0.258
diazei01,2002,320,34,66,19,0,2,16,17,27,1,6,2,0.258,0.284,0.542,46,0.294
diazei01,2003,334,30,86,14,1,4,35,9,32,0,10,4,0.294,0.341,0.635,69,0.364
diazma02,2006,297,37,97,15,4,7,32,11,49,3,9,4,0.364,0.475,0.839,118,0.368
diazma02,2007,358,44,121,21,0,12,45,16,63,3,4,5,0.368,0.497,0.865,127,0.39
diazma02,2009,371,56,116,18,4,13,58,35,90,2,13,1,0.39,0.488,0.878,134,0.302
diazma02,2010,224,27,56,17,2,7,31,13,44,3,4,1,0.302,0.438,0.739,102,0.303
diazma02,2011,216,14,56,12,1,0,19,11,44,0,3,1,0.303,0.324,0.627,76,0.364
dickeco01,2014,436,74,136,27,6,24,76,37,101,6,1,4,0.364,0.567,0.931,163,0.333
dickeco01,2015,224,30,68,18,2,10,31,10,56,0,0,0,0.333,0.536,0.869,137,0.293
dickeco01,2016,510,57,125,36,3,24,70,33,134,6,2,2,0.293,0.469,0.761,103,0.325
dickeco01,2017,588,84,166,33,4,27,62,35,152,6,3,2,0.325,0.49,0.815,115,0.33
dickeco01,2018,504,65,151,35,7,13,55,21,80,4,4,4,0.33,0.474,0.804,120,0.341
dietrde01,2013,215,32,46,10,2,9,23,11,56,1,7,0,0.275,0.405,0.679,89,0.346
dietrde01,2015,250,38,64,14,3,10,24,23,65,2,13,3,0.346,0.456,0.802,122,0.374
dietrde01,2016,351,39,98,20,5,7,42,32,84,2,24,5,0.374,0.425,0.798,118,0.334
dietrde01,2017,406,56,101,22,5,13,53,36,98,5,18,4,0.334,0.424,0.758,103,0.33
dietrde01,2018,499,72,132,26,2,16,45,29,140,2,21,2,0.33,0.421,0.751,107,0.328
dirksan01,2011,219,34,55,13,0,7,28,11,36,1,3,0,0.296,0.406,0.703,94,0.37
dirksan01,2012,314,56,101,18,5,8,35,23,53,2,2,2,0.37,0.487,0.857,136,0.323
dirksan01,2013,438,60,112,16,2,9,37,42,84,2,2,1,0.323,0.363,0.686,93,0.33
dobbsgr01,2007,324,45,88,20,4,10,55,29,67,4,1,4,0.33,0.451,0.78,105,0.333
dobbsgr01,2008,226,30,68,14,1,9,40,11,40,1,1,2,0.333,0.491,0.824,118,0.311
dobbsgr01,2011,411,38,113,23,0,8,49,22,83,3,1,3,0.311,0.389,0.701,94,0.313
dobbsgr01,2012,319,26,91,13,2,5,39,14,53,5,2,7,0.313,0.386,0.698,93,0.303
dobbsgr01,2013,237,21,54,11,0,2,22,22,40,6,5,3,0.303,0.3,0.603,71,0.289
donaljo02,2012,274,34,66,16,0,9,33,14,61,0,5,1,0.289,0.398,0.687,89,0.384
donaljo02,2013,579,89,174,37,3,24,93,76,110,2,6,6,0.384,0.499,0.883,147,0.342
donaljo02,2014,608,93,155,31,2,29,98,76,130,5,7,4,0.342,0.456,0.798,127,0.371
donaljo02,2015,620,122,184,41,2,41,123,73,133,0,6,10,0.371,0.568,0.939,157,0.404
donaljo02,2016,577,122,164,32,5,37,99,109,119,6,9,3,0.404,0.549,0.953,157,0.385
donaljo02,2017,415,65,112,21,0,33,78,76,111,1,3,2,0.385,0.559,0.944,150,0.324
doumiry01,2005,231,25,59,13,1,6,35,11,48,1,13,1,0.324,0.398,0.722,93,0.341
doumiry01,2007,252,33,69,19,2,9,32,22,59,2,4,1,0.341,0.472,0.813,113,0.357
doumiry01,2008,431,71,137,34,0,15,69,23,55,4,6,5,0.357,0.501,0.858,128,0.299
doumiry01,2009,280,31,70,16,0,10,38,20,49,6,1,3,0.299,0.414,0.714,89,0.331
doumiry01,2010,406,42,102,22,1,13,45,41,87,4,8,1,0.331,0.406,0.738,103,0.353
doumiry01,2011,218,17,66,12,1,8,30,16,35,0,1,0,0.353,0.477,0.83,130,0.32
doumiry01,2012,484,56,133,34,1,18,75,29,98,5,7,8,0.32,0.461,0.781,114,0.314
doumiry01,2013,485,49,120,28,1,14,55,48,99,4,1,4,0.314,0.396,0.71,99,0.271
doziebr01,2012,316,33,74,11,1,6,33,16,58,0,1,3,0.271,0.332,0.603,67,0.312
doziebr01,2013,558,72,136,33,4,18,66,51,120,0,6,4,0.312,0.414,0.726,103,0.345
doziebr01,2014,598,112,145,33,1,23,71,89,129,1,9,8,0.345,0.416,0.762,118,0.307
doziebr01,2015,628,101,148,39,4,28,77,61,148,2,7,8,0.307,0.444,0.751,106,0.34
doziebr01,2016,615,104,165,35,5,42,99,61,138,6,8,5,0.34,0.546,0.886,137,0.359
doziebr01,2017,617,106,167,30,4,34,93,78,141,6,8,2,0.359,0.498,0.856,128,0.307
doziebr01,2018,410,65,93,21,2,16,52,46,96,1,3,3,0.307,0.405,0.712,96,0.34
drewjd01,1999,368,72,89,16,6,13,39,50,77,0,6,3,0.34,0.424,0.763,96,0.401
drewjd01,2000,407,73,120,17,2,18,57,67,99,4,6,1,0.401,0.479,0.88,126,0.414
drewjd01,2001,375,80,121,18,5,27,73,57,75,4,4,4,0.414,0.613,1.027,168,0.349
drewjd01,2002,424,61,107,19,1,18,56,57,104,4,8,4,0.349,0.429,0.778,108,0.374
drewjd01,2003,287,60,83,13,3,15,42,36,48,0,3,0,0.374,0.512,0.886,134,0.436
drewjd01,2004,518,118,158,28,8,31,93,118,116,2,5,3,0.436,0.569,1.006,163,0.412
drewjd01,2005,252,48,72,12,1,15,36,51,50,3,5,3,0.412,0.52,0.931,149,0.393
drewjd01,2006,494,84,140,34,6,20,100,89,106,8,4,6,0.393,0.498,0.891,132,0.373
drewjd01,2007,466,84,126,30,4,11,64,79,100,10,1,6,0.373,0.423,0.796,111,0.408
drewjd01,2008,368,79,103,23,4,19,64,79,80,5,4,5,0.408,0.519,0.927,147,0.392
drewjd01,2009,452,84,126,30,4,24,68,82,109,5,3,1,0.392,0.522,0.914,143,0.341
drewjd01,2010,478,69,122,24,2,22,68,60,105,3,4,4,0.341,0.452,0.793,117,0.315
drewjd01,2011,248,23,55,6,1,4,22,33,58,4,2,3,0.315,0.302,0.617,74,0.357
drewst01,2006,209,27,66,13,7,5,23,14,50,4,0,1,0.357,0.517,0.874,126,0.313
drewst01,2007,543,60,129,28,4,12,60,60,100,5,3,8,0.313,0.37,0.683,81,0.333
drewst01,2008,611,91,178,44,11,21,67,41,109,6,1,7,0.333,0.502,0.836,121,0.32
drewst01,2009,533,71,139,29,12,12,65,49,87,7,1,7,0.32,0.428,0.748,98,0.352
drewst01,2010,565,83,157,33,12,15,61,62,108,2,3,1,0.352,0.458,0.81,122,0.317
drewst01,2011,321,44,81,21,5,5,45,30,74,0,1,1,0.317,0.396,0.713,98,0.333
drewst01,2013,442,57,112,29,8,13,67,54,124,3,1,4,0.333,0.443,0.777,117,0.271
drewst01,2015,383,43,77,16,1,17,44,37,71,1,1,3,0.271,0.381,0.652,80,0.37
dudalu01,2011,301,38,88,21,3,10,50,33,57,3,7,5,0.37,0.482,0.852,136,0.329
dudalu01,2012,401,43,96,15,0,15,57,51,120,0,4,3,0.329,0.389,0.718,99,0.352
dudalu01,2013,318,42,71,16,0,15,33,55,102,4,9,2,0.352,0.415,0.767,115,0.349
dudalu01,2014,514,74,130,27,0,30,92,69,135,8,9,4,0.349,0.481,0.83,136,0.352
dudalu01,2015,471,67,115,33,0,27,73,66,138,7,14,3,0.352,0.486,0.838,131,0.347
dudalu01,2017,252,30,62,21,0,17,37,37,73,4,2,0,0.347,0.532,0.879,132,0.313
duffyma01,2015,573,77,169,28,6,12,77,30,96,0,5,2,0.334,0.428,0.762,111,0.313
duffyma01,2016,257,32,65,11,2,4,21,20,40,0,4,3,0.313,0.358,0.671,83,0.361
duncach01,2006,280,60,82,11,3,22,43,30,69,0,2,2,0.363,0.589,0.952,144,0.354
duncach01,2007,375,51,97,20,0,21,70,55,123,3,1,1,0.354,0.48,0.834,119,0.346
duncach01,2008,222,26,55,8,0,6,27,34,52,3,0,1,0.346,0.365,0.711,92,0.329
duncach01,2009,260,25,59,15,2,5,32,41,67,1,0,3,0.329,0.358,0.687,84,0.317
duncash01,2010,229,29,53,10,0,11,36,26,76,2,3,1,0.317,0.419,0.736,102,0.324
duncash01,2011,223,29,58,17,0,11,47,19,56,1,3,2,0.324,0.484,0.808,122,0.288
duncash01,2012,232,29,47,10,0,11,31,28,59,1,1,3,0.288,0.388,0.676,86,0.371
dunnad01,2001,244,54,64,18,1,19,43,38,74,2,4,0,0.371,0.578,0.948,147,0.4
dunnad01,2002,535,84,133,28,2,26,71,128,170,13,9,3,0.4,0.454,0.854,130,0.354
dunnad01,2003,381,70,82,12,1,27,57,74,126,8,10,4,0.354,0.465,0.819,116,0.388
dunnad01,2004,568,105,151,34,0,46,102,108,195,11,5,0,0.388,0.569,0.956,149,0.387
dunnad01,2005,543,107,134,35,2,40,101,114,168,14,12,2,0.387,0.54,0.927,146,0.365
dunnad01,2006,561,99,131,24,0,40,92,112,194,12,6,3,0.365,0.49,0.855,122,0.386
dunnad01,2007,522,101,138,27,2,40,106,101,165,8,5,4,0.386,0.554,0.94,146,0.373
dunnad01,2008,373,58,87,14,0,32,74,80,120,6,6,5,0.373,0.528,0.901,139,0.398
dunnad01,2009,546,81,146,29,0,38,105,116,177,16,4,2,0.398,0.529,0.928,146,0.356
dunnad01,2010,558,85,145,36,2,38,103,77,199,10,9,4,0.356,0.536,0.892,143,0.292
dunnad01,2011,415,36,66,16,0,11,42,75,177,0,4,2,0.292,0.277,0.569,60,0.333
dunnad01,2012,539,87,110,19,0,41,96,105,222,3,1,4,0.333,0.468,0.8,120,0.32
dunnad01,2013,525,60,115,15,0,34,86,76,189,7,3,3,0.32,0.442,0.762,112,0.34
dunnad01,2014,363,43,80,17,0,20,54,65,132,5,3,4,0.34,0.433,0.773,120,0.395
durazer01,2002,222,46,58,12,2,16,48,49,60,2,2,3,0.395,0.55,0.944,151,0.374
durazer01,2003,537,92,139,29,0,21,77,100,105,12,2,6,0.374,0.43,0.804,114,0.396
durazer01,2004,511,80,164,35,1,22,88,56,104,9,9,2,0.396,0.523,0.919,140,0.373
durhara01,1999,612,109,181,30,8,13,60,73,105,1,4,2,0.373,0.435,0.808,108,0.361
durhara01,2000,614,121,172,35,9,17,75,75,105,0,7,8,0.361,0.45,0.81,108,0.337
durhara01,2001,611,104,163,42,10,20,65,64,110,3,4,6,0.337,0.466,0.804,111,0.39
durhara01,2002,345,71,103,20,2,9,48,49,59,0,5,4,0.39,0.446,0.836,125,0.35
durhara01,2002,219,43,60,14,4,6,22,24,34,1,2,1,0.35,0.457,0.806,115,0.366
durhara01,2003,410,61,117,30,5,8,33,50,82,2,3,2,0.366,0.441,0.807,114,0.364
durhara01,2004,471,95,133,28,8,17,65,57,60,3,6,4,0.364,0.484,0.848,122,0.356
durhara01,2005,497,67,144,33,0,12,62,48,59,2,7,7,0.356,0.429,0.785,110,0.36
durhara01,2006,498,79,146,30,7,26,93,51,61,6,2,2,0.36,0.538,0.898,131,0.295
durhara01,2007,464,56,101,21,2,11,71,53,75,6,2,9,0.295,0.343,0.638,69,0.385
durhara01,2008,263,43,77,23,0,3,32,38,49,0,2,1,0.385,0.414,0.799,115,0.297
