playerID,yearID,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,HBP,SF,OBP,SLG,OPS,BAbip,lgOBP,lgSLG,OPS+
anderma02,2006,215,31,59,13,2,5,23,18,41,1,1,2,0.331,0.423,0.754,0.316,0.337,0.432,96
anderma02,2008,138,16,29,6,0,1,10,9,27,0,0,2,0.255,0.275,0.53,0.25,0.333,0.416,43
anderti01,2016,410,57,116,22,6,9,30,13,117,0,1,1,0.306,0.432,0.738,0.375,0.322,0.417,99
anderti01,2017,587,72,151,26,4,17,56,13,162,0,3,1,0.276,0.402,0.679,0.328,0.324,0.426,80
anderti01,2018,567,77,136,28,3,20,64,30,149,2,4,3,0.281,0.406,0.687,0.289,0.318,0.409,88
andinro01,2009,198,31,44,7,0,2,10,15,47,1,0,2,0.274,0.288,0.562,0.278,0.333,0.418,51
andinro01,2011,457,63,120,22,0,5,36,41,83,0,3,1,0.327,0.344,0.67,0.311,0.321,0.399,88
andinro01,2012,384,41,81,13,1,7,28,37,100,0,2,1,0.283,0.305,0.588,0.266,0.319,0.405,64
andresh01,1999,281,28,51,8,0,11,37,43,88,2,0,4,0.287,0.327,0.614,0.215,0.345,0.434,59
andresh01,2000,192,25,44,5,0,14,39,27,59,1,2,1,0.329,0.474,0.803,0.25,0.345,0.437,104
andruel01,2009,480,72,128,17,8,6,40,40,77,0,6,3,0.329,0.373,0.702,0.305,0.333,0.418,88
andruel01,2010,588,88,156,15,3,0,35,64,96,0,5,0,0.342,0.301,0.643,0.317,0.325,0.403,80
andruel01,2011,587,96,164,27,3,5,60,56,74,0,5,1,0.347,0.361,0.708,0.312,0.321,0.399,99
andruel01,2012,629,85,180,31,9,3,62,57,96,0,5,3,0.349,0.378,0.727,0.332,0.319,0.405,103
andruel01,2013,620,91,168,17,4,4,67,52,97,1,4,6,0.328,0.331,0.659,0.312,0.318,0.396,87
andruel01,2014,619,72,163,35,1,2,41,46,96,0,3,7,0.314,0.333,0.647,0.305,0.314,0.386,86
andruel01,2015,596,69,154,34,2,7,62,46,78,1,2,9,0.309,0.357,0.667,0.283,0.317,0.405,86
andruel01,2016,506,75,153,31,7,8,69,47,70,2,4,7,0.362,0.439,0.8,0.333,0.322,0.417,118
